"","x"
"#cnndebate",12
"#CNNdebate",14
"#CNNDebate",11
"#CNNDEBATE",3
"#cnndebate ",4
"A no fly zone over syria? We have no interest in Syria.  Let's take care of our issues first. #cnndebate #teapartynation #tcot #gop2012",3
"computers before you leave office. #Romney #cnndebate",3
"Could ron Paul possibly be any more incoherent?  #teapartynation #cnndebate #tcot #gop2012",3
"GOP question: &quot;What is the one national security issue you worry about that no one is asking about today?&quot; Jihad! #CNNdebate",3
"Ron Paul's foreign policy, unilateral surrender.  #cnndebate #teapartynation #tcot #gop2012",3
"RT @_pius: Herman Cain just claimed he was a computer scientist early in his career. #FactCheckPlease #MindBlown #CNNDebate",4
"RT @2chambers: Surprisingly little mention of China at this debate. nothing on Senate's China currency bill? #cnndebate",3
"RT @AAIUSA: Too much Glenn Beck watching? #Santorum worries about Socialist-Islamist militant alliance taking over #CNNDebate",3
"RT @abesauer: &quot;I'm a white male with the white male foundation. What are the interests of....&quot; #cnndebate",3
"RT @abrahamjh: Syria imports a lot of oil... They don't have that much to export Herman... #CNNDebate",4
"RT @AC360: &quot;Believe me, the kids can still get the drugs. It just doesn't work&quot; - Ron Paul #WarOnDrugs #CNNDebate",19
"RT @AC360: I do not believe that people of the U.S. are going to take people who have been here for 25 years...and expel them - #Gingrich #CNNDebate",4
"RT @acarvin: Cain: wouldn't support a Syria NFZ. Would push for allies to not buy Syrian oil. #cnndebate",7
"RT @acarvin: Huntsman: we ignored the Persian spring 2 years ago yet went into Libya with no real natl interest. Israel is our natl interest. #cnndebate",4
"RT @acarvin: Perry: Syrian NFZ is one of several ways to pressure regime. Syria is a partner with Iran on exporting terrorism. #cnndebate",6
"RT @ACLU: @RonPaul tells #CNNDebate &quot;you don't have to give up liberty to provide security,&quot; or as we like to say: &quot;safe and free.&quot;",3
"RT @ACLU: News to us: At #CNNDebate, @MicheleBachmann claims Interrogation of terrorists has been &quot;outsourced&quot; to @ACLU.",5
"RT @addiestan: Bachmann: &quot;We won the peace in Iraq.&quot; Tell that to the Iraqis being blown up every day. #CNNdebate",4
"RT @AdeleinTexas: @GovernorPerry is RIGHT ON! He GETS it!  Securing the border is JOB ONE! @TeamRickPerry #tcot #CNNDebate  #TeaParty",5
"RT @Adenovir: Herman Cain: I support a no fly zone. Those things carry germs, you know. #CNNDebate",4
"RT @ADIOCHAIN: Go Cain!  #cnndebate",6
"RT @afwjam: Ron Paul is the number one trending topic on Twitter. #RonPaul #CNNdebate",7
"RT @afwjam: Ron Paul promotes the golden rule and says we should mind our own business at the #CNNdebate #ronpaul #tcot #tlot #teaparty #GOP2012 #win",7
"RT @aishatyler: &quot;My name is Michele Bachmann, and for every point I lose in the polls, I apply one more layer of eyeshadow.&quot; #cnndebate",3
"RT @aishatyler: And Ron Paul wrapped up his foreign policy summary thusly: &quot;Hey you kids! Get off my lawn!!!&quot; #cnndebate",15
"RT @aishatyler: Did Santorum just call Africa a country? Oh. Dear. F*^king. Lord. #cnndebate",3
"RT @aishatyler: Here comes Huntsman w/big words like &quot;fissile,&quot; &quot;pan-arab&quot; &amp; &quot;diplomacy.&quot; Hint #2: don't bring intelligence to a knife fight. #cnndebate",24
"RT @aishatyler: NOW Ron Paul is attacking prescription drugs. What will Real Hollywood Wives do with their afternoons if he is elected president? #cnndebate",3
"RT @AKr3volution: #RonPaul has been right for decades. proof - http://t.co/LAVm2lx6 #ronpaul2012 #tcot #election #cnnDebate #blackthisout #constitution",3
"RT @alelanca: why isn't our interest in the middle east peace? #cnndebate",4
"RT @AlexDictates: Ron Paul is the man, he is the only person who is capable of running this country into the future @RonPaul @piersmorgan #cnndebate",4
"RT @alexwagner: Nat security/foreign policy debate wrapping up with approx negative zero time spent on China or The Great Melting Eurozone. #cnndebate",10
"RT @alpha1906: #cnndebate Let's just cut to the chase: Herman Cain is stupid.  Not dumb, stupid.  Not ignorant. Stupid.",4
"RT @an0nyc: #CNNDebate This is a shit show.",4
"RT @anamariecox: Ask Jeeves? RT @attackerman: Who does Romney's out-of-context Googling? #cnndebate",3
"RT @anamariecox: So, there's going to be a surprise question from Cheney at the end, huh? I mean, surely... #cnndebate",10
"RT @andreamsaul: .@MittRomney: Secure our border, protect legal immigration, return to a system that follows the law #Mitt2012 #CNNDebate",6
"RT @anildash: #GOPDebateQuestion Do you pledge not to pursue war crime prosecution against the Taliban when they waterboard our soldiers? #CNNdebate",3
"RT @anildash: #GOPDebateQuestion Why is it a bad idea for Muslim nations to practice theocracy but good for the U.S.? #CNNdebate",12
"RT @anildash: #GOPDebateQuestion Why was President Obama's handling of Libya so much better than Bush's handling of Iraq? #CNNdebate",3
"RT @anildash: #GOPDebateQuestion Why would the U.S. be better with your immigration policy which would've kept Steve Jobs from being born here? #CNNdebate",5
"RT @AnonyOps: &quot;The war on drugs undermines our civil liberties&quot; - Ron Paul #cnndebate  ...... truth!",9
"RT @AnonyOps: Newt said it again. Apparently he thinks church attendance is a requirement for citizenship for illegal immigrants. #cnndebate",8
"RT @AnonyOps: Romney ALmost accused Iran of violating the Geneva convention. Woah there buddy, You mean USA. #cnnDebate",3
"RT @AntDeRosa: &quot;Why don't we mind our own business?&quot; - Ron Paul #CNNDebate http://t.co/00qT0qjY",4
"RT @AntDeRosa: Ron Paul won our poll of who won the #CNNDebate by a landslide, 70% of the vote, Gingrich a distant second http://t.co/7FTxOdWK",23
"RT @AntDeRosa: Still chuckling over Mitt Zombie's quest for immigrant BRAAAAAAINSSSSSSSSS. #CNNDebate http://t.co/00qT0qjY",3
"RT @AntDeRosa: Took almost two hours to discuss Arab Spring at a debate regarding national security. #CNNDebate http://t.co/00qT0qjY",6
"RT @ASE: Republican advisors to candidates before debate: &quot;If #Tahrir comes up. Side-step it.&quot; Can: &quot;Why?&quot; RA: &quot;It's Complicated&quot; #cnndebate",4
"RT @ASE: Republican advisors to candidates before debate: &quot;If Egypt comes up. Side-step it.&quot; Can: &quot;Why?&quot; RA: &quot;It's Complicated&quot; #cnndebate",6
"RT @ASE: Talk turns to Arab world &amp; the candidates all start to look confused till they, like #Perry can bring it back to... #Iran #cnndebate",5
"RT @ashong: Seriously tho, when this is all said &amp; done if #HermanCain doesn't get a reality show I'm boycotting cable. #CNNDebate",3
"RT @ashong: These guys really want to start beef w China. Ok Rick Perry, what do you propose we DO? Does anyone have any ideas here? #CNNDebate",3
"RT @ashong: These people are idiots. #CNNDebate",3
"RT @ashong: They finally ask Huntsman another question. If he says anything smart he's going back into the corner. #CNNDebate",3
"RT @atlasshrugs: 100 minutes into GOP national security debate and  #1 threat to our country and the free  world-jihad - has not been uttered ONCE #CNNdebate",12
"RT @atlasshrugs: Rue Paul (lol)  says al qaeda is inspired by our meddling - Rue Paul the Think Progress candidate #CNNdebate",6
"RT @attackerman: 19 minutes left in #CNNdebate. No China questions, no Eurozone questions, no real defense-spending answer.",9
"RT @attackerman: EMP. #CNNdebate. I'm fucking done.",4
"RT @attackerman: Hey, you know, just saying, India, Brazil, Russia, China, South Africa, SK &amp; Japan are these important countries #CNNdebate",7
"RT @attackerman: I can only conclude Rick Santorum seriously thinks he's running for president in 1960 #CNNdebate",13
"RT @BachmannsBrain: Ron Paul worries most about missing the early bird specials and The Price Is Right #cnndebate #tweetthepress #p2",3
"RT @beatitudes: #cnndebate the asteroid might as well hit us now",5
"RT @BeautYconSazon: Wow Michelle Bachman almost said Steve Gates instead of Steve Jobs smh #fail #CNNdebate",3
"RT @Ben_Bones_Jones: @jonhuntsman is the only republican in the field who will lead america to success in foriegn policy because of his knowledge. #cnndebate",5
"RT @bethanyshondark: 15 minutes left to talk EU debt, Egypt, China, North Korea during the &quot;Foreign Policy&quot; #CNNDebate. So glad we talked about immigration. Ugh.",3
"RT @bethanyshondark: Cain bringing it back to the economy because he's so uncomfortable with foreign policy. You'd think he would've prepped. #CNNDebate",3
"RT @BettyFckinWhite: Watching the Biggest Loser #CNNdebate",5
"RT @BeyBreezyCanada: Ron Paul is right. Why waste a trillions on a war that is a failure in every way? He even pulled out statistics. #warondrugs #CNNdebate",7
"RT @BlackCanseco: I'd sooner buy a Fiat from JLo than I'd buy foreign policy advice from any of these #GOPDebate #CNNDebate asshats.",3
"RT @BlackCanseco: I'm surprise the #CNNDebate field hasn't suggested hitching Israel to a tractor and just bringing the whole country to Texas.",3
"RT @blackrepublican: Why give out more VISA&quot;s? We have unemployed young people here in the USA. Train our American youth  to take these tech jobs. #CNNdebate",10
"RT @BlackSheepRpt: #cnndebate - Ron Paul sees everyone as individuals. Individual liberty. Individual opportunity. Individual responsibility.",4
"RT @BlackSheepRpt: #cnndebate For those who are impressed with Newt. Check his record. Talk is cheap. Ron Paul does what he says. He lives his words. Character",17
"RT @blackthisout: Egypt = US failed policy. Ron Paul is right again #RonPaul2012 #CNNDebate",5
"RT @blackthisout: Ron Paul is getting air time, and people are loving it! #RonPaul2012 #CNNDebate",26
"RT @Blessed2Be_Z: Ron Paul is speaking the truth. Let the U.S. mind our business #CnnDebate",4
"RT @blogdiva: BOOM! RT @FilmLadd: No Bachmann, Steve Jobs hired 30,000 Chinese slave laborers, not workers. #CNNDebate #Heritage",21
"RT @blogdiva: LOL RT @mmcnarney: The CNN executive producer just found the three black guys in the auditorium. Took 90 minutes. #cnndebate",12
"RT @blogdiva: RT @AnonyOps: Newt said it again. Apparently he thinks church attendance is a requirement for citizenship for illegal immigrants. #cnndebate",3
"RT @blogdiva: RT @conorreid: May I remind everybody that Iran is not an Arab country? So let's get back to talking about the Arab Spring. #CNNdebate",6
"RT @blogdiva: RT @desifeminista: &quot;I think there are people in the world that want to oppress other people, evil people.&quot; --Mitt Romney 0_0 #CNNdebate",3
"RT @blogdiva: RT @drgoddess: LOL!!! RT @LilianaSegura: Again, Santorum manages to suck the life out of every question. #CNNDebate",4
"RT @blogdiva: RT @PaulFidalgo: One thing Perry's not interested in is intellectual exercises. Or even brisk, light intellectual activity. #cnndebate",5
"RT @bluberripoptart: &quot;@YahyaHenry: I like Ron Paul, the guy is a genius.#cnndebate&quot; you aren't saying that sarcastically are you? Lol I love Ron Paul too!!",6
"RT @BorowitzReport: As a nation, we need to take better care of our mental patients - it's cruel to put them on TV like this. #CNNDebate",27
"RT @BorowitzReport: Audience member: &quot;I am President of the National Association of Old White People.&quot; #CNNDebate",44
"RT @BorowitzReport: Audience member: &quot;Mr. Cain, you are the first Black person I've ever spoken to.  What are you like?&quot; #CNNDebate",77
"RT @BorowitzReport: BREAKING: 'Romney Can Go Fuck Himself,' Says Giant Magnet #CNNDebate",6
"RT @BorowitzReport: BREAKING: 2012 Shaping Up Perfectly, Say Ancient Mayans #CNNDebate",67
"RT @BorowitzReport: BREAKING: Obama Seen Laughing Uncontrollably #CNNDebate",6
"RT @BorowitzReport: Cain: &quot;Let me just say to the ladies in the audience, you're looking good tonight.&quot;  #CNNDebate",4
"RT @BorowitzReport: It's impressive that Newt made time for this debate given that he's working as a parade float on Thursday. #CNNDebate",6
"RT @BorowitzReport: Perry: &quot;I believe life begins at conception and ends at immigration.&quot; #CNNDebate",14
"RT @BorowitzReport: Perry: &quot;I favor a no-fly zone for Syria because that country has way too many flies.&quot; #CNNDebate",61
"RT @BorowitzReport: Question from the audience: &quot;Could one of you say something that will keep me from killing myself?&quot; #CNNDebate",4
"RT @BorowitzReport: Rick Perry: &quot;Our choice is clear.  Are you with us, or are you with the magnets?&quot; #CNNDebate",6
"RT @BorowitzReport: Shouldn't Ron Paul be at the North Pole making toys right now? #CNNDebate",4
"RT @BorowitzReport: What is this giant magnet they keep talking about?  It sounds cool. #CNNDebate",4
"RT @BorowitzReport: Where is pepper-spray when you need it? #CNNDebate",3
"RT @BrandonKiser: Read &quot;One Second After&quot; about an electromagnetic pulse attack. It had a foreword by Gingrich. He knows that stuff. #CNNdebate",3
"RT @breeannehowe: Perry is doing well people. Sorry that doesn't fit your narrative. #cnndebate",5
"RT @brenthatley: #CNNDebate Dr. Paul is the only one making any sense. Ask which candidate will get us out of the current wars? How fast can it be done?",6
"RT @brianarrhea: #RonPaul: PEACE, SOUND MONEY, LIBERTY 
Everyone else: WAR, WAR, WAR, WAR, WAR #CNNDebate",8
"RT @brianbeutler: Beep. Romneybot engage. Blip bleep bloop. #cnndebate",7
"RT @brooksbayne: ron paul shorter: &quot;don't impose penalties on criminals, because they won't like it, and might act out.&quot; #cnndebate #crazytown",5
"RT @BryanJFischer: Ron Paul still saying Muslims hate us because we're over there. Nope. They hate us because we're Christians. #cnndebate",3
"RT @BryanJFischer: The Qur'an says, &quot;Slay the idolaters wherever you find them.&quot; Q: Can Muslims safely serve in the U.S. military? #cnndebate",8
"RT @Buck_Fachmann: #HermanCain &quot;I wouldn't support a no-fly zone because there are mountains there. #CNNDebate",4
"RT @buddyroemer: how about stealing our manufacturing jobs?  have you ever been to #china, rick? #cnndebate #nhdebatewatch",5
"RT @buddyroemer: no troops on the ground in #syria - join others in condemning the violence #cnndebate #nhdebatewatch",4
"RT @buddyroemer: Number 2  issue - DC is the capital of corruption, not Islamabad.  #cnndebate #nhdebatewatch",6
"RT @buddyroemer: rebuild america, stop policing the world. #nhdebatewatch #cnndebate",17
"RT @buddyroemer: rebuild america. can't say it enough - a foreign policy not controlled by addiction to oil or need for credit #cnndebate #nhdebatewatch",7
"RT @buddyroemer: the unexpected - unfair trade.  bleeding america to death #cnndebate #nhdebatewatch",6
"RT @buddyroemer: there hasn't been a single question asked in a debate about where candidates get their money #nhdebatewatch #cnndebate",4
"RT @buddyroemer: you know who fought the dream act?  the US chamber of commerce.  they want illegal labor - it's cheap.  #cnndebate #nhdebatewatch",8
"RT @CainStaff: #CNNDebate Cain, a computer and ballistics expert, is first to mention cyber attacks as national security threat.",7
"RT @capreble: Here is an obvious one: &quot;Knowing what you know now, was it a mistake for the United States to have invaded Iraq in March 2003?&quot; #CNNDebate",3
"RT @CatholicDems: Bachmann wants to take us back to 2003, Santorum to 1980s &amp; Romney to 1950s. None of them have any idea about moving us forward. #cnndebate",3
"RT @CatholicDems: Seeing all of these Bushies w/in AEI &amp; Heritage is reminder of things to come if GOP wins WH next year. #cnndebate",5
"RT @CatoFP: Ron Paul is the only contender answering the questions directly #CNNDebate",15
"RT @CBSNews: Rick Santorum endorses Muslim profiling http://t.co/XgREJKEx via @CBSNewsHotSheet #CNNdebate",3
"RT @CBSNews: Ron Paul: Cancel war on drugs...it undermines civil liberties and magnifies border issues...and kids still get the drugs #cnndebate",54
"RT @CFHeather: A no fly zone is not a &quot;sanction&quot;, it is a &quot;kinetic military action&quot; #cnndebate",4
"RT @CharlesBivona: #Idea! #CNNDebate: First, we end all of these GOD DAMN WARS! Then we use the money we save, $TRILLIONS, to care of each other. #OWS",3
"RT @CharlesBivona: If we don't start learning how to care for each other, none of us will make it. #CNNDebate #poem",3
"RT @CharlesBivona: None of us can be happy and healthy with this many Americans #unemployed. #CNNDebate #poem",3
"RT @chuckdevore: #CNNDebate Perry explains why a no-fly zone over Syria is in our interest because Syria is allied with Iran in exporting terror",6
"RT @Clarknt67: Wish someone would ask about the powerful international cartel of radical homosexuals. Just for laughs. #CNNDebate",5
"RT @clintonlambeth: #cnndebate ron paul",3
"RT @CNN: GOP candidates clash over Afghanistan in the #CNNDebate. http://t.co/vS2iTE1u",4
"RT @CNN: Happening now: Join the Republican National Security Debate! Send your comments and questions using #CNNDebate.",3
"RT @cnnbrk: Gingrich supports &quot;Red Card&quot; where immigrants could become legal but could not get &quot;path to citizenship.&quot; http://t.co/Fenawqzh  #CNNDebate",19
"RT @CNNLive: CNN's @JimAcostaCNN answers your questions about tonight's #CNNDebate. Tweet with #CNNPostgame and watch live at http://t.co/kJE5N7xX",5
"RT @colbyhall: To complete the caricature, Ron Paul needs to be lifting a cane over his head whenever he speaks #CNNDebate",5
"RT @colonialdude: BULLSHIT BULLSHIT BULLSHIT!!!!   The Heritage Foundation is running this fucking debate!!  WTF???   #CNNdebate",3
"RT @conor64: If you ever wondered what someone complicit in torture looks like take a look at David Addington. #CnnDebate",12
"RT @conor64: WOw, Marc Thiessen too. The torture apologists are out in force tonight. #AEI #CNNDebate",3
"RT @conor64: You'd think from GOP debates that terrorism was invented in 2001. #CNNDebate",9
"RT @conorreid: May I remind everybody that Iran is not an Arab country? So let's get back to talking about the Arab Spring. #CNNdebate",3
"RT @Conservative_76: America is exceptional because of liberty. Not just because we are America. #CNNDebate",8
"RT @Conservativeind: Dear Ron Paul - read the Qu'ran #cnndebate",3
"RT @Conservativeind: Ron Paul needs to stop hanging out with codepinkoes #cnndebate",6
"RT @Conservativeind: RT @tgiovanetti: Apparently Ron Paul is going after the Taliban vote. #CNNDebate",5
"RT @ConTeach: #CNNDebate - Did yoiu forget that Herman Cain is on the stage and is still in top 3 in all polls? @THEHermanCain RT @Cainstaff",3
"RT @cprater: Don't give CNN too much credit, this debate is good due to the smart questions being asked by smart people in the audience.  #cnndebate",5
"RT @cprater: Ron Paul: Can't we all just get along? #cnndebate",3
"RT @CSteven: Ron Paul is the most DANGEROUS idiot to EVER infiltrate the Republican Party. WHAT A DISGRACE! #CNNDebate #tcot #teaparty",3
"RT @ctuckerprof: OMG. Now it's David Addington, ex-Cheney COS, asking abt Syria. Is Cheney gonna ask a question? #CNNdebate",3
"RT @cyndeZu: RT @ellieeugenia: @RonPaul is trending, smiles. @RonPaul #CNNdebate",5
"RT @cyndeZu: RT @r3VOLutionMarch: @RonPaul top trend in the entire planet - Black this Out! #CNNdebate",14
"RT @cyndeZu: RT @southernavenger: Ron Paul is on fire tonight #cnndebate",7
"RT @daddy_san: Astounded that no one spoke about better hygiene and cleanliness when asked about a no-fly zone. #CNNDebate",3
"RT @Danbojangles: How would Mitt Romney feel if sanctions were placed on the US..and they prevented him from obtaining &quot;Just For Men&quot;...?? #CNNdebate #RonPaul",4
"RT @dandrezner: I know Egypt and Syria are worth talking about, but Europe and Pacific Rim are too.  #CNNdebate",3
"RT @dandrezner: Romney schooling Perry on why a Syrian no-fly zone is irrelevant at best and dangerous at worst.  #CNNdebate",3
"RT @dandrezner: Santorum:  &quot;Africa was a country on the brink.&quot;  #yeshesaidit #CNNdebate",4
"RT @dandrezner: Yes, this RT @attackerman: 19 minutes left in #CNNdebate. No China questions, no Eurozone questions, no real defense-spending answer.",4
"RT @dangainor: Al Qaedah doesn't like that US has bases in United States either. #RONPAULALOON #CNNdebate",11
"RT @dangainor: CNN needs a better map of the world. This debate left so much out, it's a travesty. #CNNdebate",4
"RT @dankennedy_nu: Only been watching for 10 minutes and already seeking alcoholic fortification. #CNNdebate",4
"RT @Daroff: Huntsman: clear US interest in #Syria due to 'our friend and ally' #Israel. #CNNdebate",3
"RT @Daroff: Romney says #Hezbollah's activities in South America are a pressing national concern. #CNNdebate",3
"RT @darren_foster: +1 point for Dr. @RonPaul who points out that prescription drugs kill more people in the US than illegal drugs. #GOP2012 #CNNDebate",4
"RT @daveweigel: Huntsman: &quot;The magic was inside YOU all along!&quot; #cnndebate",8
"RT @daveweigel: Ron Paul citing Wolfowitz. I love this debate. #cnndebate",19
"RT @daveweigel: This was a good night for @BuddyRoemer. #cnndebate",8
"RT @David_Gergen: Big moments at #cnndebate: exchange on immigration.  Think #Newt right re law-abiding families here 25 years.",5
"RT @davidbadash: If this were a real debate you wouldn't have Republican think tank wonks asking Republican -skewed questions. False premises. #CNNdebate",13
"RT @davidfrum: RT @TerryMoran: Hunstman: &quot;We missed the Persian Spring.&quot; Great line. #cnndebate",11
"RT @DavidLindores: if you missed #CNNDebate, impress people tomorrow with these facts from the stage: Africa is a country and Steve Gates founded Apple",5
"RT @DavidMDrucker: @TheHermanCain closes w/ a strong answer on cyber security. #CNNdebate",4
"RT @DavidMDrucker: &quot;Sanctions aren't going to work&quot; on Iran. &quot;I hate to break it to you.&quot; @JonHuntsman, making sense. #CNNdebate",9
"RT @DawnMWaters: Yes, #RonPaul is the smartest, most honest, guy on stage. &quot;@OccupyDCInfo: #CNNDebate Ron Paul, Smartest guy on the stage?&quot;",3
"RT @Dbargen: #cnndebate Herman should make Huntzie the ambassador to something. Again. #gopdebate @Talkmaster #redeye",3
"RT @Dbargen: #cnndebate That's BS Ron! They do want to kill us here. #gopdebate #redeye @Talkmaster",3
"RT @DCdebbie: Anybody else watching #CNNDebate got McCain's &quot;Bomb, bomb, bomb. Bomb, bomb Iran&quot; stuck in their head too?",7
"RT @DCdebbie: Who is that drag queen attacking President Obama?  #CNNDebate",3
"RT @DCPlod: Next question from Cheney's ex-chief of staff: &quot;Which friend would you shoot in the face?&quot; #cnndebate #p2",4
"RT @delrayser: Oh Jesus Fucking Christ, DAVID ADDINGTON?!? #CNNdebate",5
"RT @DemocratMachine: Ron Paul: &quot;We need to get off of the lawns of the rest of the World!&quot; #CNNDebate",7
"RT @deroo1da: Go Ron Paul! #CNNdebate",6
"RT @desifeminista: &quot;I think there are people in the world that want to oppress other people, evil people.&quot; --Mitt Romney 0_0 #CNNdebate",3
"RT @desifeminista: Ron Paul: chill out, smoke some weed, stop warring, force women to have babies. #obvs #CNNdebate",6
"RT @deviatar: Ron Paul would apply the Golden Rule: don't do to any country what we don't want them to do to us. (i.e., mind our own business) #CNNdebate",4
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop   by showing split screen with Ron Paul they are promoting him",8
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop   CNN is trying to hype Ron Paul.  its their effort to destabilize the Republican Party and promote Paul",4
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop   I like no drive zone (Romney's answer).  Romney shows he really knows his stuff diffferent form Perry slogn",9
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop   Newt is going to be hurt by his immigration answer.   He is opening daylight with Romney on this",4
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  An Illinois water supply company was hacked, possibly by China.  This could be the start of bad stuff",13
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  At last a good answer from Cain.  That';s the Cain we have all liked",3
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  Bachmann shows real knowledge and depth of understanding",5
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  Cain's answer on Syria is wrong.  Syria only produces about 350K barrels a day -- a tiny amount",19
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  final: Newt won.  Watch my video tomorrow on who won.  Thanks for watching with me!!!",3
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  Good answer from Santorum on consequences of higher taxes.",3
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  Great answer by Cain on cyber attacks.  Newt is also right on elctromagnetic pulse attack",22
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  Moral equalency between US and Syria and Iran.  Ron Paul is a nut",26
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  Newt hurt himself in this last round.  His stance on amnesty for roots and tenure in the US will hurt",4
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  Now Romney has both Perry and Newt to his left on immigration!  Key move!   He could live off that differnce",11
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  Perry good answer on China.  Romney and Santorum good answer on Latin ameridca",3
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  Perry is right on no fly zone over Syria.  We need it  we need to weaken Iran by kicking out Assad",11
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  Romney's answer about contrast between himself and Obama was excellent.  He ticked off basic difference",13
"RT @dickmorristweet: #cnndebate #hannity #tcot #gop  Ron Paul: If only we don't offend them, they'll love us",24
"RT @digiRT: Rick Santorum would make a great Joseph McCarthy. #CNNDebate",4
"RT @DLoesch: None of these candidates are mentioning Fast and Furious. #fail #cnndebate",18
"RT @dmataconis: Herman Cain's solution: Don't buy oil from Syria, which produce almost no oil #CNNDebate",3
"RT @dmataconis: Jon Huntsman is sounding intelligent and talking about history. Obviously he is ineligible to be the Republican nominee #CNNDebate",9
"RT @dmataconis: This is a debate about foreign policy and national security. And there has not been a single question about the Eurozone #CNNDebate",11
